A00,Cólera
M8330/3,Adenocarcinoma folicular SOE
M8331/3,Adenocarcinoma folicular bem diferenciado
M8332/3,Adenocarcinoma folicular trabecular
M8333/0,Adenoma microfolicular
M8334/0,Adenoma macrofolicular
M834,Doença óssea  alumínio
M8340/3,Carcinoma papilar
M835,Outras osteomalácias adulto induzidas drogas
M8350/3,Carcinoma esclerosante não-encapsulado
M8360/1,Adenomas endócrinos múltiplos
M8361/1,Tumor justaglomerular
M8370/0,Adenoma córtex supra-renal SOE
M8370/3,Carcinoma córtex supra-renal
M8371/0,Adenoma córtex supra-renal células compactas
M8372/0,Adenoma córtex supra-renal
M8373/0,Adenoma córtex supra-renal
M8374/0,Adenoma córtex supra-renal
M8375/0,Adenoma córtex supra-renal
M838,Outra osteomalácia adulto
M8380/0,Adenoma endometrióide SOE
"M8380/1,""Adenoma endometrióide """"borderline"""""""
M8380/3,Carcinoma endometrióide
M8381/0,Adenofibroma endometrióide SOE
"M8381/1,""Adenofibroma endometrióide """"borderline"""""""
M8381/3,Adenofibroma endometróide maligno
M839,Osteomalácia não especificada adulto
M8390/0,Adenoma apêndice cutâneo
M8390/3,Carcinoma apêndice cutâneo
M84,Transtornos continuidade osso
M840,Defeito consolidação fratura
M8400/0,Adenoma glândula sudorípara
M8400/1,Tumor glândula sudorípara SOE
M8400/3,Adenocarcinoma glândula sudorípara
M8401/0,Adenoma apócrino
M8401/3,Adenocarcinoma apócrino
M8402/0,Acrospiroma écrino
M8403/0,Espiradenoma écrino
M8404/0,Hidrocistoma
M8405/0,Hidradenoma papilar
M8406/0,Siringadenoma papilar
M8407/0,Siringoma SOE
M8408/0,Adenoma papilar écrino
M841,Ausência consolidação fratura [pseudo-artrose]
M8410/0,Adenoma sebáceo
M8410/3,Adenocarcinoma sebáceo
M842,Atraso consolidação fratura
M8420/0,Adenoma ceruminoso
M8420/3,Adenocarcinoma ceruminoso
"M843,""Fratura fadiga (""""stress"""") não classificada outra parte"""
M8430/1,Tumor mucoepidermóide
M8430/3,Carcinoma mucoepidermóide
M844,Fratura patológica não classificada outra parte
M8440/0,Cistadenoma SOE
M8440/3,Cistadenocarcinoma SOE
M8441/0,Cistadenoma seroso SOE
M8441/3,Cistadenocarcinoma seroso SOE
"M8442/3,""Cistadenoma seroso """"borderline"""""""
M8450/0,Cistadenoma papilar SOE
M8450/3,Cistadenocarcinoma papilar SOE
"M8451/3,""Cistadenoma papilar """"borderline"""""""
M8452/1,Tumor cístico papilar
M8460/0,Cistadenoma seroso papilar SOE
M8460/3,Cistadenocarcinoma seroso papilar
M8461/0,Papiloma seroso superficial
M8461/3,Carcinoma papilar seroso superficial
"M8462/3,""Cistadenoma seroso papilar """"borderline"""""""
M8470/0,Cistadenoma mucinoso SOE
M8470/3,Cistadenocarcinoma mucinoso
M8471/0,Cistadenoma mucinoso papilar SOE
M8471/3,Cistadenocarcinoma mucinoso papilar
"M8472/3,""Cistadenoma mucinoso """"borderline"""""""
"M8473/3,""Cistadenoma mucinoso papilar """"borderline"""""""
M848,Outros transtornos continuidade osso
M8480/0,Adenoma mucinoso
M8480/3,Adenocarcinoma mucinoso
M8480/6,Pseudomixoma peritônio
M8481/3,Adenocarcinoma produtor mucina
M849,Transtorno não especificado continuidade osso
M8490/3,Carcinoma células anel sinete
M8490/6,Carcinoma metastático células anel sinete
M85,Outros transtornos densidade estrutura ósseas
M850,Displasia fibrosa (monostótica)
M8500/2,Carcinoma intraductal não infiltrante SOE
M8500/3,Carcinoma dutos infiltrante
M8501/2,Comedocarcinoma não infiltrante
M8501/3,Comedocarcinoma SOE
M8502/3,Carcinoma juvenil mama
M8503/0,Papiloma intraductal
M8503/2,Adenocarcinoma papilar intraductal não infiltrante
M8503/3,Adenocarcinoma papilar intraductal invasão
M8504/0,Adenoma papilar intracístico
M8504/2,Carcinoma intracístico não infiltrante
M8504/3,Carcinoma intracístico SOE
M8505/0,Papilomatose intraductal SOE
M8506/0,Adenoma mamilo
M851,Fluorose esquelética
M8510/3,Carcinoma medular SOE
M8511/3,Carcinoma medular estroma amilóide
M8512/3,Carcinoma medular estroma linfóide
M852,Hiperostose crânio
M8520/2,Carcinoma lobular in situ
M8520/3,Carcinoma lobular SOE
M8521/3,Carcinoma ductular infiltrante
M8522/2,Carcinoma intraductel carcinoma lobular in situ
M8522/3,Carcinoma infiltrante dutos lobular
M853,Osteíte condensante
M8530/3,Carcinoma inflamatório
M854,Cisto ósseo solitário
M8540/3,Doença mamária Paget
M8541/3,Doença Paget carcinoma dutos infiltrante mama
M8542/3,Doença Paget extramamária (exceto doença Paget osso)
M8543/3,Doença Paget carcinoma intraductal mama
M855,Cisto ósseo aneurismático
M8550/0,Adenoma células acinares
M8550/1,Tumor células acinares
M8551/0,Carcinoma células acinares
M856,Outro cisto ósseo
M8560/3,Carcinoma adenoescamoso
M8561/0,Adenolinfoma
M8562/3,Carcinoma epitelial-mioepitelial
M8570/3,Adenocarcinoma metaplasia escamosa
M8571/3,Adenocarcinoma metaplasia cartilaginosa óssea
M8572/3,Adenocarcinoma metaplasia células fusiformes
M8573/3,Adenocarcinoma metaplasia apócrina
M858,Outros transtornos especificados densidade estrutura ósseas
M8580/0,Timoma benigno
M8580/3,Timoma maligno
M859,Transtorno não especificado densidade estrutura ósseas
M8590/1,Tumor cordões sexuais estroma
M86,Osteomielite
M860,Osteomielite aguda hematogênica
M8600/0,Tecoma SOE
M8600/3,Tecoma maligno
M8601/3,Tecoma luteinizado
M8602/0,Tumor esclerosante estroma
M861,Outra osteomielite aguda
M8610/0,Luteoma SOE
M862,Osteomielite subaguda
M8620/1,Tumor células granulosa SOE
M8620/3,Tumor maligno células granulosa
M8621/1,Tumor células granulosa células teca
M8622/1,Tumor juvenil células granulosa
M8623/1,Tumor cordões sexuais túbulos anulares
M863,Osteomielite crônica multifocal
M8630/0,Androblastoma benigno
M8630/1,Androblastoma SOE
M8630/3,Androblastoma maligno
M8631/0,Tumor células Sertoli-Leydig
M8632/1,Ginandroblastoma
M864,Osteomielite crônica seio drenante
M8640/0,Tumor células Sertoli SOE
M8640/3,Carcinoma células Sertoli
M8641/0,Tumor células Sertoli depósito lípides
M865,Outra osteomielite crônica hematogênica
M8650/0,Tumor benigno células Leydig
M8650/1,Tumor células Leydig SOE
M8650/3,Tumor maligno células Leydig
M866,Outra osteomielite crônica
M8660/0,Tumor células hilo
M8670/0,Tumor células lipídicas ovário
M8671/0,Tumor supra-renal acessório [resto adrenal]
M868,Outra osteomielite
M8680/1,Paraganglioma SOE
M8680/3,Paraganglioma maligno
M8681/1,Paraganglioma simpático
M8682/1,Paraganglioma parassimpático
M8683/0,Paraganglioma gangliocítico
M869,Osteomielite não especificada
M8690/1,Tumor glomo jugular
M8691/1,Tumor corpo aórtico
M8692/1,Tumor corpo carotídeo
M8693/1,Paraganglioma extra-supra-renal SOE
M8693/3,Paraganglioma extra-supra-renal maligno
M87,Osteonecrose
M870,Necrose asséptica idiopática osso
M8700/0,Feocromocitoma SOE
M8700/3,Feocromocitoma maligno
M871,Osteonecrose devida drogas
M8710/3,Glomangiossarcoma
M8711/0,Tumor glomo
M8712/3,Glomangioma
M8713/0,Glomangiomioma
M872,Osteonecrose devida traumatismo anterior
M8720/0,Nevo pigmentado SOE
M8720/2,Melanoma in situ
M8720/3,Melanoma maligno SOE
M8721/3,Melanoma nodular
M8722/0,Nevo células baloniformes
M8722/3,Melanoma células baloniformes
M8723/0,Halo nevo
M8723/3,Melanoma maligno regressão
M8724/0,Pápula fibrosa nariz
M8725/0,Neuronevo
M8726/0,Nevo magnocelular
M8727/0,Nevo displásico
M873,Outras osteonecroses secundárias
M8730/0,Nevo não pigmentado
M8730/3,Melanoma amelanótico
M8740/0,Nevo juncional SOE
M8740/3,Melanoma maligno nevo juncional
M8741/2,Melanose pré-cancerosa SOE
M8741/3,Melanoma maligno melanose pré-cancerosa
M8742/2,Sarda melanótica Hutchinson SOE
M8742/3,Melanoma maligno sarda melanótica Hutchinson
M8743/3,Melanoma propagação superficial
M8744/3,Melanoma lentiginoso maligno extremidades periféricas
M8745/3,Melanoma desmoplástico maligno
M8750/0,Nevo intradérmico
M8760/0,Nevo composto
M8761/1,Nevo pigmentado gigante SOE
M8761/3,Melanoma maligno nevo pigmentado gigante
M8770/0,Nevo epitelióide células fusiformes
M8770/3,Melanoma misto epitelióide células fusiformes
M8771/0,Nevo células epitelióides
M8771/3,Melanoma células epitelióides
M8772/0,Nevo células fusiformes
M8772/3,Melanoma células fusiformes SOE
M8773/3,Melanoma células fusiformes
M8774/3,Melanoma células fusiformes
M878,Outras osteonecroses
M8780/0,Nevo azul SOE
M8780/3,Nevo azul maligno
M879,Osteonecrose não especificada
M8790/0,Nevo azul celular
M88,Doença Paget osso (osteíte deformante)
M880,Doença Paget crânio
M8800/0,Tumor benigno tecidos moles
M8800/3,Sarcoma SOE
M8800/6,Sarcomatose SOE
M8801/3,Sarcoma células fusiformes
M8802/3,Sarcoma células gigantes (exceto osso M9250/3)
M8803/3,Sarcoma células pequenas
M8804/3,Sarcoma epitelióide
M8810/0,Fibroma SOE
M8810/3,Fibrossarcoma SOE
M8811/0,Fibromixoma SOE
M8811/3,Firbromixossarcoma
M8812/0,Fibroma periostal
M8812/3,Fibrossarcoma periostal
M8813/0,Fibroma fáscia
M8813/3,Fibrossarcoma fáscia
M8814/3,Fibrossarcoma infantil
M8820/0,Elastofibroma
M8821/1,Fibromatose agressiva
M8822/1,Fibromatose abdominal
M8823/1,Fibroma desmoplástico
M8824/1,Miofibromatose
M8830/0,Histiocitoma fibroso SOE
M8830/1,Histiocitoma fibroso atípico
M8830/3,Histiocitoma fibroso maligno
M8832/0,Dermatofibroma SOE
M8832/3,Dermatofibrossarcoma SOE
M8833/3,Dermatofibrossarcoma protuberante pigmentado
M8840/0,Mixoma SOE
M8840/3,Mixossarcoma
M8841/1,Angiomixoma
M8850/0,Lipoma SOE
M8850/3,Lipossarcoma SOE
M8851/0,Fibrolipoma
M8851/3,Lipossarcoma bem diferenciado
M8852/0,Fibromixolipoma
M8852/3,Lipossarcoma mixóide
M8853/3,Lipossarcoma células redondas
M8854/0,Lipoma pleomórfico
M8854/3,Lipossarcoma pleomórfico
M8855/3,Lipossarcoma misto
M8856/0,Lipoma intramuscular
M8857/0,Lipoma células fusiformes
M8858/3,Lipossarcoma desdiferenciado
M8860/0,Angiomiolipoma
M8861/0,Angiolipoma SOE
M8870/0,Mielolipoma
M888,Doença Paget outros ossos
M8880/0,Hibernoma
M8881/0,Lipoblastomatose
M889,Doença Paget osso não especificado
M8890/0,Leiomioma SOE
M8890/1,Leiomiomatose SOE
M8890/3,Leiomiossarcoma SOE
M8891/0,Leiomioma epitelióide
M8892/0,Leiomioma celular
M8893/0,Leiomioma bizarro
M8894/0,Angiomioma
M8894/3,Angiomiossarcoma
M8895/0,Mioma
M8895/3,Miossarcoma
M8896/3,Leiomiossarcoma mixóide
M8897/1,Tumor músculo liso SOE
M89,Outros transtornos ósseos
M890,Algoneurodistrofia
M8900/0,Rabdomioma SOE
M8900/3,Rabdomiossarcoma SOE
M8901/3,Rabdomiossarcoma pleomórfico
M8902/3,Rabdomiossarcoma tipo misto
M8903/0,Rabdomioma fetal
M8904/0,Rabdomioma adulto
M891,Parada crescimento epifisário
M8910/3,Rabdomiossarcoma embrionário
M892,Outros transtornos desenvolvimento crescimento ósseo
M8920/3,Rabdomiossarcoma alveolar
M893,Hipertrofia óssea
M8930/0,Nódulo estroma endometrial
M8930/3,Sarcoma estroma endometrial
M8931/1,Miose endolinfático estroma
M8932/0,Adenomioma
M8933/3,Adenossarcoma
M894,Outras osteoartropatias hipertróficas
M8940/0,Adenoma pleomórfico
M8940/3,Tumor misto maligno SOE
M8941/3,Carcinoma adenoma pleomórfico
M895,Osteolise
M8950/3,Tumor mulleriano misto
M8951/3,Tumor mesodérmico misto
M896,Osteopatia pós-poliomielite
M8960/1,Nefroma mesoblástico
M8960/3,Nefroblastoma SOE
M8963/3,Sarcoma rabdóide
M8964/3,Sarcoma células claras rim
M8970/3,Hepatoblastoma
M8971/3,Pancreatoblastoma
M8972/3,Blastoma pulmonar
M898,Outros transtornos especificados osso
M8980/3,Carcinossarcoma SOE
M8981/3,Carcinossarcoma embrionário
M8982/0,Mioepitelioma
M899,Transtorno não especificado osso
M8990/0,Mesenquimoma benigno
M8990/1,Mesenquimoma SOE
M8990/3,Mesenquimoma maligno
M8991/3,Sarcoma embrionário
M90,Osteopatias doenças classificadas outra parte
M900,Tuberculose óssea
M9000/0,Tumor Brenner SOE
"M9000/1,""Tumor Brenner """"borderline"""""""
M9000/3,Tumor Brenner maligno
M901,Periostite outras doenças infecciosas classificadas outra parte
M9010/0,Fibroadenoma SOE
M9011/0,Fibroadenoma intracanalicular
M9012/0,Fibroadenoma pericanalicular
M9013/0,Adenofibroma SOE
M9014/0,Adenofibroma seroso
M9015/0,Adenofibroma mucinoso
M9016/0,Fibroadenoma gigante
M902,Osteopatia outras doenças infecciosas classificadas outra parte
M9020/0,Tumor filodes benigno
M9020/1,Tumor filodes SOE
M9020/3,Tumor filodes maligno
"M903,""Osteonecrose """"mal caixões"""""""
M9030/3,Fibroadenoma juvenil
M904,Osteonecrose devida à hemoglobinopatia
M9040/0,Sinovioma benigno
M9040/3,Sarcoma sinovial SOE
M9041/3,Sarcoma sinovial células fusiformes
M9042/3,Sarcoma sinovial células epitelióides
M9043/3,Sarcoma sinovial bifásico
M9044/3,Sarcoma células claras (exceto rim M8964/3)
M905,Osteonecrose outras doenças classificadas outra parte
M9050/0,Mesotelioma benigno
M9050/3,Mesotelioma maligno
M9051/0,Mesotelioma fibroso benigno
M9051/3,Mesotelioma fibroso maligno
M9052/0,Mesotelioma epitelióide benigno
M9052/3,Mesotelioma epitelióide maligno
M9053/0,Mesotelioma bifásico benigno
M9053/3,Mesotelioma bifásico maligno
M9054/0,Tumor adenomatóide SOE
M9055/1,Mesotelioma cístico
M906,Osteíte deformante doenças neoplásicas
M9060/3,Disgerminoma
M9061/3,Seminoma SOE
M9062/3,Seminoma anaplástico
M9063/3,Seminoma espermatocítico
M9064/3,Germinoma
M907,Fratura óssea doenças neoplásicas
M9070/3,Carcinoma embrionário SOE
M9071/3,Tumor seio endodérmico
M9072/3,Poliembrioma
M9073/1,Gonadoblastoma
M908,Osteopatia outras doenças classificadas outra parte
M9080/0,Teratoma benigno
M9080/1,Teratoma SOE
M9080/3,Teratoma maligno SOE
M9081/3,Teratocarcinoma
M9082/3,Teratoma maligno não diferenciado
M9083/3,Teratoma maligno intemediário
M9084/0,Cisto dermóide SOE
M9084/3,Teratoma transformação maligna
M9085/3,Tumor misto células germinativas
M9090/0,Estruma ovariana SOE
M9090/3,Estruma ovariana maligna
M9091/1,Carcinóide estrumal
M91,Osteocondrose juvenil quadril pelve
M910,Osteocondrose juvenil pelve
M9100/0,Mola hidatiforme SOE
M9100/1,Mola hidatiforma invasiva
M9100/3,Coriocarcinoma SOE
M9101/3,Coriocarcinoma combinado outros elementos células germinativas
M9102/3,Teratoma maligno trofoblástico
M9103/0,Mola hidatiforme parcial
M9104/1,Tumor trofoblástico sítio placentário
M911,Osteocondrose juvenil cabeça fêmur [Legg-Calvé-Perthes]
M9110/0,Mesomefroma benigno
M9110/1,Tumor mesonéfrico
M9110/3,Mesomefroma maligno
M912,Coxa plana
M9120/0,Hemangioma SOE
M9120/3,Hemangiossarcoma
M9121/0,Hemangioma cavernoso
M9122/0,Hemangioma venoso
M9123/0,Hemangioma racemoso
M9124/3,Sarcoma células Kupfer
M9125/0,Hemangioma epitelióde
M9126/0,Hemangioma histiocitóide
M913,Pseudocoxalgia
M9130/0,Hemangioendotelioma benigno
M9130/1,Hemangioendotelioma SOE
M9130/3,Hemangioendotelioma maligno
M9131/0,Hemangioma capilar
M9132/0,Hemangioma intramuscular
M9133/1,Hemangioendotelioma epitelióide SOE
M9133/3,Hemangioendotelioma epitelióide maligno
M9134/1,Tumor alveolar brônquio intravascular
M9140/3,Sarcoma Kaposi
M9141/0,Angioqueratoma
M9142/0,Hemangioma queratótico verrucoso
M9150/0,Hemangiopericitoma benigno
M9150/1,Hemangiopericitoma SOE
M9150/3,Hemangiopericitoma maligno
M9160/0,Angiofibroma SOE
M9161/1,Hemangioblastoma
M9170/0,Linfangioma SOE
M9170/3,Linfangiossarcoma
M9171/0,Linfangioma capilar
M9172/0,Linfangioma cavernoso
M9173/0,Linfangioma cístico
M9174/0,Linfangiomioma
M9174/1,Linfangiomiomatose
M9175/0,Hemolinfangioma
M918,Outras osteocondroses juvenis quadril pelve
M9180/0,Osteoma SOE
M9180/3,Osteossarcoma SOE
M9181/3,Osteossarcoma condroblástico
M9182/3,Osteossarcoma fibroblástico
M9183/3,Osteossarcoma telangiectásico
M9184/3,Osteossarcoma doença Paget osso
M9185/3,Osteossarcoma células pequenas
M919,Osteocondrose juvenil não especificada quadril pelve
